CS509 Assignment 3 - MST
Input File: testcases/input/mst_100.txt
Vertices: 100
Edges: 300

Algorithm: Prim's MST
MST edges:
0 58 10
0 68 13
68 66 10
68 18 13
66 43 13
43 9 11
9 7 10
7 78 4
78 4 6
0 14 17
7 57 18
57 51 5
51 73 5
57 35 10
35 65 4
35 54 10
51 89 10
35 74 11
74 25 9
35 75 13
75 53 8
75 29 11
35 80 13
73 56 14
56 27 6
35 67 15
67 23 13
65 49 16
49 69 6
69 50 16
29 92 16
92 15 6
92 72 12
72 41 1
41 30 9
30 21 4
15 64 14
64 8 14
29 38 17
80 1 18
80 2 18
2 60 1
60 3 8
2 31 10
2 37 17
60 40 17
15 13 18
13 55 3
55 17 11
78 83 18
14 34 21
34 20 14
15 28 22
92 63 22
75 95 22
55 91 24
18 10 26
10 70 9
70 32 5
70 16 14
16 76 15
16 88 16
70 82 24
41 79 26
79 45 12
79 6 23
30 44 27
44 33 3
14 12 28
1 52 28
52 36 22
36 85 4
36 84 7
36 59 8
59 22 4
22 86 6
84 71 23
71 77 9
68 11 29
21 62 29
54 93 30
93 42 16
28 98 31
15 24 32
24 99 26
57 90 33
90 81 12
35 94 34
54 5 35
25 96 36
60 26 39
27 47 41
47 97 26
80 61 44
13 46 48
56 87 57
74 19 58
19 48 14
12 39 90
Total MST weight: 1776
Execution time: 0.3742 ms
